Frase,Sentimiento
buena mierda,2
buen mierda,2
buenísima mierda,2
la hostia,2
de puta madre,2
está de puta madre,2
una mierda,-3
es una mierda,-3
es una puta mierda,-3
no está mal,1
nada mal,1
no está nada mal,1
no me gustó,-1
no me gusto,-1
no me ha gustado,-1
no nos gustó,-1
no recomendable,-2
no recomiendo,-2
no repetiría,-2
no volvería,-2
muy recomendable,2
super recomendable,2
súper recomendable,2
