listing_id,id,date,reviewer_id,reviewer_name,comments
18674,638222583889413519,2022-05-30,14303175,Gema,"Es un apartamento enorme con las habitaciones en la parte del apartamento que no da a la calle, con lo cual es una delicia para dormir y descansar. La zona del salón con la terracota es muy agradable para desayunar viendo la Sagrada Familia. Muy recomendable."
18674,701284924139516241,2022-08-25,283152183,María Fernanda,"La ubicación es perfecta, cerca al metro y sitios donde comer. La atención excelente y son muy cordiales."
18674,864304823517762627,2023-04-07,167646749,Abril,"Todo excelentemente bien, el balcón tiene una vista hermosa, la zona es bonita, tiene todo cerca incluyendo la sagrada familia que está a 1 calle, el Internet perfecto, la TV muy bien, las habitaciones impecables, las duchas impecables, el acceso super bien y nos dejaron ingresar las maletas antes de tiempo y volvimos a la hora de llegada acordada, está en 6 piso y tiene ascensor, es un lugar muy seguro, aunque todos dicen que la zona no lo es, a nosotros no nos fue mal. volveremos lo sé!"
18674,968660866655561858,2023-08-29,143494286,Marco,todo bien....recomendado
18674,1247037164041988599,2024-09-16,110123574,Wojciech,spacious apartment next to  Sagrada Familia
18674,1408579137728967933,2025-04-27,384239280,Jenifer Angelina,"Cobra grafía extra de lo que indica la aplicación y pide muchos requisitos para poderse alojar, no tiene llegada autónoma, lo que hace difícil la llegada"
23197,200448257,2017-10-05,151833917,Jose Luis,"El apartamento es tal como se describe. Muy cómodo, con una gran terraza, todo el menaje necesario  y muy limpio. Tony nos recibió a la llegada muy atentamente explicándonos varios temas sobre comunicaciones, lugares de interés, etc. Tanto Etain como Tony nos han atendido en todo momento fantásticamente, ayudándonos en cualquier necesidad. Sin duda a nuestra vuelta a Barcelona intentaremos reservar en este mismo lugar situado fuera del bullicioso centro, muy bien comunicado y en zona muy, muy segura."
23197,365455559,2019-01-01,220992441,Rafael,"El departamento cuenta con todo lo necesario para  6 personas.<br/>La ubicación es excelente, tal cómo se menciona. El transporte público,  una maravilla a la puerta.  Fueron muy gentiles con un early check in y un late check out sin costo.  Pasamos una semana inolvidable en familia. Para mejorar, la cama matrimonial. Volveré a Barcelona, sin duda alguna. Rafael, Santiago de Chile"
23197,482990771,2019-07-07,227665869,Andreu,"Apartamento muy comodo, limpio y agradable. Trato inmejorable con la amfitriona. 100% recomendado"
23197,831004216806439479,2023-02-20,3455554,Borja,Tanto la anfitriona como su ayudante fueron muy amables y atentos.<br/>Buena comunicación.<br/>Experiencia para repetir.
23197,1160744244179574980,2024-05-20,182736968,Marta,"El apartamento es muy amplio y está muy bien cuidado y decorador. No faltaba de nada. <br/>La atención de la propiedad es excelente, dejándonos incluso hacer un early check in al viajar con un bebe, poniéndonos todas las facilidades posible. 100% recomendable."
23197,1424542088730620730,2025-05-19,684526046,Denisse Adriana,"El apartamento nos gustó mucho, está muy cómodo para dormir y descansar, con suficientes almohadas y cobijas, también nos proporcionó toallas (2 por persona), todos los servicios funcionaban a la perfección, todo muy completo <br/>Está ubicado en una zona un poquitititito retirado del centro, peroooooo me encantó que literalmente cruzando la calle está el Tram y te lleva a todos lados <br/>Debajo está una cafetería muy rica y un supermercado como a 5 min caminando o menos <br/>En general, gracias al anfitrión por la bonita experiencia aquí ✨"
23197,1433299943774706018,2025-05-31,243622750,Diego,Es un buen apartamento. buena ubicación. conveniente cercanía con el tranvía.
32711,59631744,2016-01-13,22933065,Carlos,"Nick fue muy amable y flexible ante el cambio de fechas. El apartamento está muy cerca de Sagrada Familia, y hay muchos bares, cafés y supermercados cerca."
32711,125346632,2017-01-05,99077759,Federica,"La ubicación de la casa es inmejorable, puesto que fui con mi familia a Barcelona de turismo!
<br/>La casa es grande para estar tres personas de vacaciones. Estuvimos muy bien."
